671805.660,4373206.071,-8.3
672186.801,4373770.581,-14.2
670559.800,4373181.023,-5.4
670788.581,4373564.394,-12
671126.659,4374004.032,-26.4
671491.278,4374453.491,-45
671800.615,4374878.289,-56.4
672082.792,4375314.789,-70
672294.797,4375649.219,-82.2
672486.386,4376046.705,-101.1
669821.905,4373364.053,-4.5
670005.786,4373741.617,-10
670262.764,4374126.131,-18.5
670567.489,4374504.774,-30.7
670856.025,4374882.003,-50
671193.710,4375282.012,-60.1
669070.264,4373548.298,-4.2
669346.926,4374036.799,-11.6
669681.074,4374495.188,-30.4
670113.592,4374949.755,-40.2
670435.949,4375474.748,-57.9
670796.281,4375915.438,-70.2
671104.003,4376311.973,-90
671439.631,4376714.730,-106.4
668475.822,4373931.474,-6.5
668747.128,4374365.721,-11.6
669090.184,4374680.345,-18
669428.223,4374946.045,-31
669600.523,4375212.118,-41
669740.710,4375442.676,-59
669881.572,4375699.568,-59
670022.375,4375962.612,-58.2
667740.280,4374076.044,-4
667947.065,4374358.376,-6
668150.126,4374710.554,-11.4
668553.085,4375257.081,-25
668946.151,4375764.798,-32.8
669296.270,4376262.680,-52
669632.807,4376745.958,-88
669957.390,4377171.511,-92.7
670297.115,4377574.864,-120
667196.756,4374508.993,-5
667543.202,4374917.936,-11
667778.303,4375287.649,-20.5
668028.788,4375676.723,-33.2
668357.535,4376113.005,-50.7
668663.650,4376557.544,-61
666707.958,4375089.409,-4.5
667056.851,4375482.845,-14.1
667386.885,4375912.804,-29.13
667725.263,4376402.146,-44
668032.029,4376851.699,-52.1
668280.130,4377208.493,-63.6
668594.674,4377578.338,-83.5
668927.809,4377926.731,-93.5
669260.619,4378253.002,-131.5
666186.587,4375372.129,-9.1
666521.814,4375851.946,-16.5
666821.465,4376257.719,-31.9
667132.608,4376657.811,-41
667423.705,4377094.047,-46
667732.116,4377503.466,-62.9
665582.438,4375527.116,-2.5
665760.843,4375902.084,-8.4
665984.019,4376165.175,-16.5
666230.484,4376390.377,-22.1
666430.951,4376684.878,-31.2
666654.087,4376983.407,-37.3
666874.320,4377225.133,-42.6
667052.397,4377477.663,-42.6
667226.850,4377716.304,-56
667428.349,4377989.310,-63
667705.781,4378327.399,-74.2
667927.943,4378598.979,-84
668169.265,4378890.083,-91.4
668003.099,4379122.834,-91.1
665089.575,4375709.233,-2.4
665149.357,4375975.888,-4.5
665203.196,4376287.396,-9.3
665441.561,4376527.932,-12.3
665647.033,4376768.676,-18.2
665853.152,4376997.318,-21.5
666054.780,4377253.226,-35.1
666260.244,4377486.320,-41.9
666480.286,4377775.443,-49.9
664497.511,4375991.704,-1.7
664602.946,4376272.068,-6.5
664756.496,4376620.062,-11.8
664847.550,4376939.953,-16.4
665053.393,4377187.827,-27.8
665255.703,4377422.112,-32.2
665470.962,4377645.994,-37.7
665640.466,4377861.091,-43.4
665871.231,4378137.528,-51
666075.220,4378365.732,-56.1
666240.406,4378556.030,-61.1
666405.895,4378762.354,-67.9
